"","npts11","npts21","npts12","npts22","npts13","npts23","ntox11","ntox21","ntox12","ntox22","ntox13","ntox23","neff11","neff21","neff12","neff22","neff13","neff23","ppts11","ppts21","ppts12","ppts22","ppts13","ppts23","ptox11","ptox21","ptox12","ptox22","ptox13","ptox23","peff11","peff21","peff12","peff22","peff13","peff23","nct111","nct121","nct112","nct122","nct113","nct123","nct211","nct221","nct212","nct222","nct213","nct223","nct311","nct321","nct312","nct322","nct313","nct323","nct411","nct421","nct412","nct422","nct413","nct423","pct111","pct121","pct112","pct122","pct113","pct123","pct211","pct221","pct212","pct222","pct213","pct223","pct311","pct321","pct312","pct322","pct313","pct323","pct411","pct421","pct412","pct422","pct413","pct423"
"11",3,6,6,0,3,0,1,0,0,0,2,0,1,5,2,0,3,0,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0,0,NA,0.666666666666667,NA,0.333333333333333,0.833333333333333,0.333333333333333,NA,1,NA,0,5,2,0,1,0,2,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.833333333333333,0.333333333333333,NA,0.333333333333333,NA,0.666666666666667,0.166666666666667,0.666666666666667,NA,0,NA,0.333333333333333,0,0,NA,0.666666666666667,NA,0,0,0,NA,0,NA
"12",3,6,3,0,6,0,1,0,1,0,2,0,1,4,1,0,3,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,NA,0.333333333333333,NA,0.333333333333333,0.666666666666667,0.333333333333333,NA,0.5,NA,1,4,1,0,2,0,1,2,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0.333333333333333,0.666666666666667,0.333333333333333,NA,0.333333333333333,NA,0.333333333333333,0.333333333333333,0.333333333333333,NA,0.333333333333333,NA,0,0,0,NA,0.166666666666667,NA,0.333333333333333,0,0.333333333333333,NA,0.166666666666667,NA
"13",3,6,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0,NA,NA,NA,0,0.833333333333333,0.833333333333333,NA,NA,NA,0,5,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,NA,NA,NA,1,0.166666666666667,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
"14",3,6,6,3,0,0,0,2,1,2,0,0,0,3,4,2,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0.166666666666667,0.666666666666667,NA,NA,0,0.5,0.666666666666667,0.666666666666667,NA,NA,0,1,3,1,0,0,3,3,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0.166666666666667,0.5,0.333333333333333,NA,NA,1,0.5,0.333333333333333,0,NA,NA,0,0.333333333333333,0.166666666666667,0.333333333333333,NA,NA,0,0,0,0.333333333333333,NA,NA
"15",3,6,6,0,0,0,0,1,4,0,0,0,1,4,5,0,0,0,0.2,0.4,0.4,0,0,0,0,0.166666666666667,0.666666666666667,NA,NA,NA,0.333333333333333,0.666666666666667,0.833333333333333,NA,NA,NA,1,3,2,0,0,0,2,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0.333333333333333,0.5,0.333333333333333,NA,NA,NA,0.666666666666667,0.333333333333333,0,NA,NA,NA,0,0.166666666666667,0.5,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA
"16",6,3,6,0,0,0,0,3,1,0,0,0,1,2,4,0,0,0,0.4,0.2,0.4,0,0,0,0,1,0.166666666666667,NA,NA,NA,0.166666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,1,0,3,0,0,0,5,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0.166666666666667,0,0.5,NA,NA,NA,0.833333333333333,0,0.333333333333333,NA,NA,NA,0,0.666666666666667,0.166666666666667,NA,NA,NA,0,0.333333333333333,0,NA,NA,NA
"17",3,6,6,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0.166666666666667,NA,NA,NA,0.333333333333333,0.5,0.5,NA,NA,NA,1,3,3,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.5,0.5,NA,NA,NA,0.666666666666667,0.5,0.333333333333333,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA
"18",3,6,6,0,0,0,0,2,1,0,0,0,1,5,5,0,0,0,0.2,0.4,0.4,0,0,0,0,0.333333333333333,0.166666666666667,NA,NA,NA,0.333333333333333,0.833333333333333,0.833333333333333,NA,NA,NA,1,4,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.333333333333333,0.666666666666667,0.833333333333333,NA,NA,NA,0.666666666666667,0,0,NA,NA,NA,0,0.166666666666667,0,NA,NA,NA,0,0.166666666666667,0.166666666666667,NA,NA,NA
"19",3,6,6,0,6,0,0,0,1,0,3,0,0,4,3,0,5,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0,0,0.166666666666667,NA,0.5,NA,0,0.666666666666667,0.5,NA,0.833333333333333,NA,0,4,3,0,2,0,3,2,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0.666666666666667,0.5,NA,0.333333333333333,NA,1,0.333333333333333,0.333333333333333,NA,0.166666666666667,NA,0,0,0,NA,0.5,NA,0,0,0.166666666666667,NA,0,NA
"20",3,6,6,0,0,0,0,2,1,0,0,0,0,5,4,0,0,0,0.2,0.4,0.4,0,0,0,0,0.333333333333333,0.166666666666667,NA,NA,NA,0,0.833333333333333,0.666666666666667,NA,NA,NA,0,3,4,0,0,0,3,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.5,0.666666666666667,NA,NA,NA,1,0.166666666666667,0.166666666666667,NA,NA,NA,0,0.333333333333333,0,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA
"21",3,6,6,0,0,0,0,0,1,0,0,0,0,4,6,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0.166666666666667,NA,NA,NA,0,0.666666666666667,1,NA,NA,NA,0,4,5,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.833333333333333,NA,NA,NA,1,0.333333333333333,0,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA
"22",6,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0.5,0,0.5,0,0,0,0,NA,0,NA,NA,NA,0.5,NA,0.666666666666667,NA,NA,NA,3,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,NA,0.666666666666667,NA,NA,NA,0.5,NA,0.333333333333333,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA
"23",3,6,6,0,0,0,0,2,1,0,0,0,1,5,5,0,0,0,0.2,0.4,0.4,0,0,0,0,0.333333333333333,0.166666666666667,NA,NA,NA,0.333333333333333,0.833333333333333,0.833333333333333,NA,NA,NA,1,3,4,0,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.666666666666667,NA,NA,NA,0.666666666666667,0.166666666666667,0.166666666666667,NA,NA,NA,0,0.333333333333333,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA
"24",6,0,6,0,6,0,0,0,0,0,1,0,3,0,4,0,2,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,NA,0,NA,0.166666666666667,NA,0.5,NA,0.666666666666667,NA,0.333333333333333,NA,3,0,4,0,2,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,NA,0.666666666666667,NA,0.333333333333333,NA,0.5,NA,0.333333333333333,NA,0.5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.166666666666667,NA
"25",3,6,3,0,6,0,0,0,0,0,1,0,0,5,1,0,4,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0,0,0,0,NA,0.166666666666667,NA,0,0.833333333333333,0.333333333333333,NA,0.666666666666667,NA,0,5,1,0,4,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.833333333333333,0.333333333333333,NA,0.666666666666667,NA,1,0.166666666666667,0.666666666666667,NA,0.166666666666667,NA,0,0,0,NA,0,NA,0,0,0,NA,0.166666666666667,NA
"26",3,6,6,6,0,0,0,0,1,2,0,0,1,2,6,4,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0,0,0.166666666666667,0.333333333333333,NA,NA,0.333333333333333,0.333333333333333,1,0.666666666666667,NA,NA,1,2,5,3,0,0,2,4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.333333333333333,0.333333333333333,0.833333333333333,0.5,NA,NA,0.666666666666667,0.666666666666667,0,0.166666666666667,NA,NA,0,0,0.166666666666667,0.166666666666667,NA,NA,0,0,0,0.166666666666667,NA,NA
"27",6,0,6,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0.5,0,0.5,0,0,0,0.166666666666667,NA,0,NA,NA,NA,0.5,NA,0.666666666666667,NA,NA,NA,3,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,NA,0.666666666666667,NA,NA,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,0,NA,0,NA,NA,NA,0.166666666666667,NA,0,NA,NA,NA
"28",3,6,6,0,0,0,0,1,1,0,0,0,0,6,3,0,0,0,0.2,0.4,0.4,0,0,0,0,0.166666666666667,0.166666666666667,NA,NA,NA,0,1,0.5,NA,NA,NA,0,5,3,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.833333333333333,0.5,NA,NA,NA,1,0,0.333333333333333,NA,NA,NA,0,0.166666666666667,0,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA
"29",3,6,6,0,6,0,0,1,0,0,3,0,0,5,2,0,3,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0,0.166666666666667,0,NA,0.5,NA,0,0.833333333333333,0.333333333333333,NA,0.5,NA,0,4,2,0,1,0,3,1,4,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0.666666666666667,0.333333333333333,NA,0.166666666666667,NA,1,0.166666666666667,0.666666666666667,NA,0.333333333333333,NA,0,0.166666666666667,0,NA,0.333333333333333,NA,0,0,0,NA,0.166666666666667,NA
"30",3,6,6,6,3,0,0,0,0,3,3,0,0,1,3,4,2,0,0.125,0.25,0.25,0.25,0.125,0,0,0,0,0.5,1,NA,0,0.166666666666667,0.5,0.666666666666667,0.666666666666667,NA,0,1,3,1,0,0,3,5,3,2,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0.166666666666667,0.5,0.166666666666667,0,NA,1,0.833333333333333,0.5,0.333333333333333,0,NA,0,0,0,0.5,0.666666666666667,NA,0,0,0,0,0.333333333333333,NA
"31",3,6,6,6,0,0,0,2,2,4,0,0,0,2,3,4,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,NA,NA,0,0.333333333333333,0.5,0.666666666666667,NA,NA,0,2,1,1,0,0,3,2,3,1,0,0,0,0,2,3,0,0,0,2,0,1,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,NA,NA,1,0.333333333333333,0.5,0.166666666666667,NA,NA,0,0,0.333333333333333,0.5,NA,NA,0,0.333333333333333,0,0.166666666666667,NA,NA
"32",3,6,6,0,0,0,0,0,1,0,0,0,1,4,4,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0.166666666666667,NA,NA,NA,0.333333333333333,0.666666666666667,0.666666666666667,NA,NA,NA,1,4,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,NA,NA,NA,0.666666666666667,0.333333333333333,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA
"33",3,6,6,0,0,0,1,0,1,0,0,0,0,4,3,0,0,0,0.2,0.4,0.4,0,0,0,0.333333333333333,0,0.166666666666667,NA,NA,NA,0,0.666666666666667,0.5,NA,NA,NA,0,4,2,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.333333333333333,NA,NA,NA,0.666666666666667,0.333333333333333,0.5,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA,0.333333333333333,0,0,NA,NA,NA
"34",3,6,6,3,0,0,0,1,0,2,0,0,1,4,5,2,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0,0.166666666666667,0,0.666666666666667,NA,NA,0.333333333333333,0.666666666666667,0.833333333333333,0.666666666666667,NA,NA,1,3,5,1,0,0,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0.5,0.833333333333333,0.333333333333333,NA,NA,0.666666666666667,0.333333333333333,0.166666666666667,0,NA,NA,0,0.166666666666667,0,0.333333333333333,NA,NA,0,0,0,0.333333333333333,NA,NA
"35",3,3,6,6,0,0,0,0,1,2,0,0,1,0,3,5,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0,0.166666666666667,0.333333333333333,NA,NA,0.333333333333333,0,0.5,0.833333333333333,NA,NA,1,0,3,3,0,0,2,3,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.333333333333333,0,0.5,0.5,NA,NA,0.666666666666667,1,0.333333333333333,0.166666666666667,NA,NA,0,0,0,0.333333333333333,NA,NA,0,0,0.166666666666667,0,NA,NA
"36",3,6,6,0,0,0,0,0,1,0,0,0,0,6,4,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0.166666666666667,NA,NA,NA,0,1,0.666666666666667,NA,NA,NA,0,6,3,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,NA,NA,NA,1,0,0.333333333333333,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA
"37",3,3,6,6,0,0,0,0,0,2,0,0,0,0,6,4,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,NA,NA,0,0,1,0.666666666666667,NA,NA,0,0,6,2,0,0,3,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,NA,NA,1,1,0,0.333333333333333,NA,NA,0,0,0,0.333333333333333,NA,NA,0,0,0,0,NA,NA
"38",3,6,3,3,6,0,0,1,0,2,2,0,1,3,1,1,3,0,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0,0,0.166666666666667,0,0.666666666666667,0.333333333333333,NA,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.5,NA,1,3,1,0,2,0,2,2,2,1,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0.333333333333333,0.5,0.333333333333333,0,0.333333333333333,NA,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,NA,0,0,0,0.333333333333333,0.166666666666667,NA,0,0.166666666666667,0,0.333333333333333,0.166666666666667,NA
"39",3,6,6,6,0,0,0,1,0,3,0,0,0,1,5,5,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0,0.166666666666667,0,0.5,NA,NA,0,0.166666666666667,0.833333333333333,0.833333333333333,NA,NA,0,0,5,2,0,0,3,5,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.333333333333333,NA,NA,1,0.833333333333333,0.166666666666667,0.166666666666667,NA,NA,0,0.166666666666667,0,0.5,NA,NA,0,0,0,0,NA,NA
"40",3,6,6,0,3,0,0,0,2,0,2,0,0,4,2,0,3,0,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0,0,0.333333333333333,NA,0.666666666666667,NA,0,0.666666666666667,0.333333333333333,NA,1,NA,0,4,1,0,1,0,3,2,3,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0.666666666666667,0.166666666666667,NA,0.333333333333333,NA,1,0.333333333333333,0.5,NA,0,NA,0,0,0.166666666666667,NA,0.666666666666667,NA,0,0,0.166666666666667,NA,0,NA
"41",3,6,6,0,0,0,1,0,1,0,0,0,1,5,5,0,0,0,0.2,0.4,0.4,0,0,0,0.333333333333333,0,0.166666666666667,NA,NA,NA,0.333333333333333,0.833333333333333,0.833333333333333,NA,NA,NA,1,5,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.333333333333333,0.833333333333333,0.666666666666667,NA,NA,NA,0.333333333333333,0.166666666666667,0.166666666666667,NA,NA,NA,0,0,0.166666666666667,NA,NA,NA,0.333333333333333,0,0,NA,NA,NA
"42",6,6,6,3,0,0,1,2,3,2,0,0,1,1,4,1,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0,0,0.166666666666667,0.333333333333333,0.5,0.666666666666667,NA,NA,0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,NA,NA,0,0,2,1,0,0,5,4,1,0,0,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0.333333333333333,0.333333333333333,NA,NA,0.833333333333333,0.666666666666667,0.166666666666667,0,NA,NA,0.166666666666667,0.166666666666667,0.333333333333333,0,NA,NA,0,0.166666666666667,0.166666666666667,0.666666666666667,NA,NA
"43",3,3,6,6,0,0,0,1,0,2,0,0,0,1,5,5,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,NA,NA,0,0.333333333333333,0.833333333333333,0.833333333333333,NA,NA,0,0,5,3,0,0,3,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.5,NA,NA,1,0.666666666666667,0.166666666666667,0.166666666666667,NA,NA,0,0.333333333333333,0,0.333333333333333,NA,NA,0,0,0,0,NA,NA
"44",3,6,6,0,6,0,0,2,0,0,1,0,0,4,2,0,5,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0,0.333333333333333,0,NA,0.166666666666667,NA,0,0.666666666666667,0.333333333333333,NA,0.833333333333333,NA,0,3,2,0,4,0,3,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.5,0.333333333333333,NA,0.666666666666667,NA,1,0.166666666666667,0.666666666666667,NA,0.166666666666667,NA,0,0.166666666666667,0,NA,0.166666666666667,NA,0,0.166666666666667,0,NA,0,NA
"45",3,6,6,6,0,0,0,2,1,1,0,0,1,2,5,5,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,NA,NA,0.333333333333333,0.333333333333333,0.833333333333333,0.833333333333333,NA,NA,1,1,4,4,0,0,2,3,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667,NA,NA,0.666666666666667,0.5,0.166666666666667,0.166666666666667,NA,NA,0,0.166666666666667,0.166666666666667,0.166666666666667,NA,NA,0,0.166666666666667,0,0,NA,NA
"46",3,3,0,3,6,6,0,1,0,0,0,1,0,0,0,1,5,5,0.142857142857143,0.142857142857143,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0.333333333333333,NA,0,0,0.166666666666667,0,0,NA,0.333333333333333,0.833333333333333,0.833333333333333,0,0,0,1,5,4,3,2,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,0.333333333333333,0.833333333333333,0.666666666666667,1,0.666666666666667,NA,0.666666666666667,0.166666666666667,0.166666666666667,0,0,NA,0,0,0.166666666666667,0,0.333333333333333,NA,0,0,0
"47",3,6,6,0,6,0,0,0,0,0,2,0,1,4,2,0,3,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0,0,0,NA,0.333333333333333,NA,0.333333333333333,0.666666666666667,0.333333333333333,NA,0.5,NA,1,4,2,0,3,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.333333333333333,0.666666666666667,0.333333333333333,NA,0.5,NA,0.666666666666667,0.333333333333333,0.666666666666667,NA,0.166666666666667,NA,0,0,0,NA,0,NA,0,0,0,NA,0.333333333333333,NA
"48",3,6,6,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0,0.2,0.4,0.4,0,0,0,0,0.166666666666667,0,NA,NA,NA,0.333333333333333,0.5,0.5,NA,NA,NA,1,2,3,0,0,0,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.5,NA,NA,NA,0.666666666666667,0.5,0.5,NA,NA,NA,0,0.166666666666667,0,NA,NA,NA,0,0,0,NA,NA,NA
"49",3,6,6,3,3,0,0,1,3,2,3,0,0,3,3,3,2,0,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0.166666666666667,0.5,0.666666666666667,1,NA,0,0.5,0.5,1,0.666666666666667,NA,0,2,1,1,0,0,3,3,2,0,0,0,0,1,2,2,2,0,0,0,1,0,1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,NA,1,0.5,0.333333333333333,0,0,NA,0,0.166666666666667,0.333333333333333,0.666666666666667,0.666666666666667,NA,0,0,0.166666666666667,0,0.333333333333333,NA
